DL0WM,JO40HM
DM4WDK,JO50OI
M0GHZ,IO81VK
ON2CP,JO21IG
PI4UTR,JO22MC
DO2YMH,JO41AT
ON1GZ,JO20FW
DL5QQ,JO32KB
M0HKB,JO02OB
ON4LBT,JO10WK
SM7VTW,JO65QQ
PA3AYD,JO21UU
DO3LTK,JO43XS
DC0NAC,JO43VI
PD0LQQ,JO20VS
DO1YMJ,JO31WS
DL1EJL,JO31FS
DG3TF,JO53IU
ON1AEN,JO10VW
DL1KDA,JO30FQ
SM7LHI,JO65PO
DG1EIP,JO31JL
PD1AKT,JO22TA
DN1GSK,JO62NL
OQ1AEN,JO10VW
DG9YIH/M,JO31TR
G0UYC,JO02MR
F1PGL,JO20IE
DO1KNB,JO30NQ
DL5NEN,JN59OP
DL1RNO,JO62FK
DO8EF,JO31KK
DL6IY,JN49NI
ON4NOK,JO21LO
DO9MH,JO33QO
PA0PTS,JO23TF
G5LK,IO91SK
DJ6XV,JO31LQ
ON4ARF,JO10MV
PE1OJB,JO22IN
DH1BBO,JO42FS
M1DNJ,JO01GJ
PA0BVD,JO23TF
ON1CJQ,JO10OV
DL2NFX,JN59JU
DL4HG,JO53CM
DG3BEO,JO43JF
OZ4EDR,JO75JF
DD1LT/P,JO44TK
G4OXD,IO91UW
DG1KZF,JO31RN
DO2YPB,JO41JR
DO3JJ,JO31QM
DO5YLM,JO42GA
DL2IAN,JN49BC
PA0ME,JO22OB
DC5PN,JN49HV
PA9JP,JO32MS
PD5RD,JO21IT
PE1PQV,JO32JG
OZ3TT,JO66CB
DO9KS,JO43CE
DJ8MS/P,JO63CT
ON4KBE,JO20BI
PE1JVV,JO21GV
DH0EAQ,JO31IK
DG9RCI,JN59PH
DO6UWE/P,JO31OI
DB7LG,JO44TH
DD5JK,JO31RO
DG6LSW,JO44SP
M1MGD,IO91VC
DL6YAU,JO44PJ
PE1OLM,JO23TF
DG0DRF,JO71JJ
DG3YCB,JO41KV
DF7JS,JO31JM
OZ2NAC,JO55RT
DJ5JD,JO33OO
PA3DHR,JO21DU
PE2JMR,JO33HG
OZ1XAT/A,JO55UL
PA3GKH,JO32HK
G4DCJ,JO02IT
DL4NAC,JN59SV
DF0DS,JO31RM
GW7SMV,IO81LN
DO1AYJ,JO50SU
DL0BAC,JO30BS
DL0JRR,JO31CT
OZ7HAM,JO65CL
DK0ALK,JN38TD
DO6DIB,JO43DA
PA3GTC,JO32LR
DD1LI,JO43WO
DG9ACT/P,JO42QH
PE1PMG,JO31BH
SK7OL,JO66NC
DH0JB,JO31CH
OQ1ARQ,JO10VX
DD7ZT,JO40DH
DL1JJ,JO31IA
DL1EEX,JO31MA
ON4CDF,JO21EE
DL0SE,JO31PG
DO3YY,JO31QM
DK0HC,JO40OQ
DC8BQ,JO31KE
DG1LAR,JO43UP
OZ/DL0IZ/P,JO45GD
DG3TD,JO44GQ
DL6OBH,JO42QI
